invoice_line_id,invoice_id,service_code,service_description,quantity,unit_price,line_amount
IL000001,INV000001,SRV006,Procedure,3,3000.00,9000.00
IL000002,INV000002,SRV003,Hospital Room Charge,2,2500.00,5000.00
IL000003,INV000002,SRV002,Emergency Consultation,1,1500.00,1500.00
IL000004,INV000002,SRV007,Pharmacy,1,750.00,750.00
IL000005,INV000002,SRV006,Procedure,3,3000.00,9000.00
IL000006,INV000003,SRV007,Pharmacy,3,750.00,2250.00
IL000007,INV000003,SRV008,Nursing Service,1,1000.00,1000.00
IL000008,INV000003,SRV006,Procedure,2,3000.00,6000.00
IL000009,INV000004,SRV002,Emergency Consultation,1,1500.00,1500.00
IL000010,INV000004,SRV004,Laboratory Investigation,2,500.00,1000.00
IL000011,INV000005,SRV004,Laboratory Investigation,2,500.00,1000.00
IL000012,INV000005,SRV007,Pharmacy,2,750.00,1500.00
IL000013,INV000006,SRV004,Laboratory Investigation,3,500.00,1500.00
IL000014,INV000006,SRV002,Emergency Consultation,1,1500.00,1500.00
IL000015,INV000006,SRV001,Consultation,2,800.00,1600.00
IL000016,INV000007,SRV005,Radiology Investigation,2,1200.00,2400.00
IL000017,INV000007,SRV007,Pharmacy,2,750.00,1500.00
IL000018,INV000007,SRV001,Consultation,3,800.00,2400.00
IL000019,INV000008,SRV006,Procedure,1,3000.00,3000.00
IL000020,INV000008,SRV001,Consultation,3,800.00,2400.00
IL000021,INV000008,SRV007,Pharmacy,2,750.00,1500.00
IL000022,INV000008,SRV003,Hospital Room Charge,1,2500.00,2500.00
IL000023,INV000009,SRV007,Pharmacy,2,750.00,1500.00
IL000024,INV000010,SRV007,Pharmacy,1,750.00,750.00
IL000025,INV000010,SRV005,Radiology Investigation,2,1200.00,2400.00
IL000026,INV000010,SRV008,Nursing Service,3,1000.00,3000.00
IL000027,INV000011,SRV005,Radiology Investigation,3,1200.00,3600.00
IL000028,INV000011,SRV001,Consultation,2,800.00,1600.00
IL000029,INV000012,SRV004,Laboratory Investigation,2,500.00,1000.00
IL000030,INV000013,SRV002,Emergency Consultation,2,1500.00,3000.00
IL000031,INV000013,SRV006,Procedure,3,3000.00,9000.00
IL000032,INV000013,SRV003,Hospital Room Charge,1,2500.00,2500.00
IL000033,INV000013,SRV005,Radiology Investigation,3,1200.00,3600.00
IL000034,INV000014,SRV005,Radiology Investigation,2,1200.00,2400.00
IL000035,INV000014,SRV006,Procedure,2,3000.00,6000.00
IL000036,INV000014,SRV004,Laboratory Investigation,3,500.00,1500.00
IL000037,INV000015,SRV003,Hospital Room Charge,3,2500.00,7500.00
IL000038,INV000015,SRV002,Emergency Consultation,2,1500.00,3000.00
IL000039,INV000015,SRV004,Laboratory Investigation,3,500.00,1500.00
IL000040,INV000016,SRV005,Radiology Investigation,3,1200.00,3600.00
IL000041,INV000016,SRV004,Laboratory Investigation,1,500.00,500.00
IL000042,INV000017,SRV005,Radiology Investigation,3,1200.00,3600.00
IL000043,INV000017,SRV002,Emergency Consultation,3,1500.00,4500.00
IL000044,INV000017,SRV004,Laboratory Investigation,3,500.00,1500.00
IL000045,INV000018,SRV008,Nursing Service,3,1000.00,3000.00
IL000046,INV000018,SRV004,Laboratory Investigation,1,500.00,500.00
IL000047,INV000018,SRV007,Pharmacy,3,750.00,2250.00
IL000048,INV000019,SRV003,Hospital Room Charge,3,2500.00,7500.00
IL000049,INV000019,SRV006,Procedure,3,3000.00,9000.00
IL000050,INV000019,SRV001,Consultation,3,800.00,2400.00
IL000051,INV000019,SRV008,Nursing Service,3,1000.00,3000.00
IL000052,INV000020,SRV002,Emergency Consultation,3,1500.00,4500.00
IL000053,INV000020,SRV007,Pharmacy,2,750.00,1500.00
IL000054,INV000020,SRV008,Nursing Service,1,1000.00,1000.00
IL000055,INV000021,SRV003,Hospital Room Charge,1,2500.00,2500.00
IL000056,INV000021,SRV001,Consultation,1,800.00,800.00
IL000057,INV000022,SRV002,Emergency Consultation,1,1500.00,1500.00
IL000058,INV000022,SRV004,Laboratory Investigation,3,500.00,1500.00
IL000059,INV000022,SRV007,Pharmacy,3,750.00,2250.00
IL000060,INV000022,SRV005,Radiology Investigation,2,1200.00,2400.00
IL000061,INV000023,SRV007,Pharmacy,1,750.00,750.00
IL000062,INV000023,SRV002,Emergency Consultation,2,1500.00,3000.00
IL000063,INV000023,SRV008,Nursing Service,1,1000.00,1000.00
IL000064,INV000023,SRV001,Consultation,1,800.00,800.00
IL000065,INV000024,SRV001,Consultation,2,800.00,1600.00
IL000066,INV000024,SRV005,Radiology Investigation,1,1200.00,1200.00
IL000067,INV000024,SRV002,Emergency Consultation,2,1500.00,3000.00
IL000068,INV000024,SRV008,Nursing Service,3,1000.00,3000.00
IL000069,INV000025,SRV008,Nursing Service,3,1000.00,3000.00
IL000070,INV000025,SRV005,Radiology Investigation,2,1200.00,2400.00
IL000071,INV000025,SRV006,Procedure,3,3000.00,9000.00
IL000072,INV000026,SRV003,Hospital Room Charge,2,2500.00,5000.00
IL000073,INV000026,SRV006,Procedure,1,3000.00,3000.00
IL000074,INV000026,SRV004,Laboratory Investigation,3,500.00,1500.00
IL000075,INV000026,SRV007,Pharmacy,2,750.00,1500.00
IL000076,INV000027,SRV004,Laboratory Investigation,3,500.00,1500.00
IL000077,INV000027,SRV003,Hospital Room Charge,2,2500.00,5000.00
IL000078,INV000027,SRV008,Nursing Service,1,1000.00,1000.00
IL000079,INV000027,SRV001,Consultation,2,800.00,1600.00
IL000080,INV000028,SRV006,Procedure,1,3000.00,3000.00
IL000081,INV000028,SRV005,Radiology Investigation,1,1200.00,1200.00
IL000082,INV000028,SRV001,Consultation,1,800.00,800.00
IL000083,INV000029,SRV003,Hospital Room Charge,2,2500.00,5000.00
IL000084,INV000029,SRV006,Procedure,2,3000.00,6000.00
IL000085,INV000029,SRV002,Emergency Consultation,2,1500.00,3000.00
IL000086,INV000029,SRV001,Consultation,3,800.00,2400.00
IL000087,INV000030,SRV007,Pharmacy,2,750.00,1500.00
IL000088,INV000030,SRV001,Consultation,3,800.00,2400.00
IL000089,INV000030,SRV002,Emergency Consultation,3,1500.00,4500.00
IL000090,INV000030,SRV004,Laboratory Investigation,1,500.00,500.00
IL000091,INV000031,SRV008,Nursing Service,2,1000.00,2000.00
IL000092,INV000031,SRV001,Consultation,2,800.00,1600.00
IL000093,INV000031,SRV003,Hospital Room Charge,3,2500.00,7500.00
IL000094,INV000031,SRV006,Procedure,3,3000.00,9000.00
IL000095,INV000032,SRV008,Nursing Service,2,1000.00,2000.00
IL000096,INV000032,SRV002,Emergency Consultation,2,1500.00,3000.00
IL000097,INV000033,SRV001,Consultation,3,800.00,2400.00
IL000098,INV000033,SRV004,Laboratory Investigation,1,500.00,500.00
IL000099,INV000033,SRV003,Hospital Room Charge,2,2500.00,5000.00
IL000100,INV000033,SRV007,Pharmacy,1,750.00,750.00
IL000101,INV000034,SRV007,Pharmacy,3,750.00,2250.00
IL000102,INV000035,SRV002,Emergency Consultation,3,1500.00,4500.00
IL000103,INV000036,SRV003,Hospital Room Charge,1,2500.00,2500.00
IL000104,INV000036,SRV007,Pharmacy,2,750.00,1500.00
IL000105,INV000036,SRV004,Laboratory Investigation,2,500.00,1000.00
IL000106,INV000036,SRV002,Emergency Consultation,2,1500.00,3000.00
IL000107,INV000037,SRV008,Nursing Service,2,1000.00,2000.00
IL000108,INV000037,SRV003,Hospital Room Charge,2,2500.00,5000.00
IL000109,INV000038,SRV007,Pharmacy,2,750.00,1500.00
IL000110,INV000038,SRV003,Hospital Room Charge,1,2500.00,2500.00
IL000111,INV000038,SRV001,Consultation,3,800.00,2400.00
IL000112,INV000039,SRV006,Procedure,1,3000.00,3000.00
IL000113,INV000040,SRV001,Consultation,1,800.00,800.00
IL000114,INV000041,SRV004,Laboratory Investigation,1,500.00,500.00
IL000115,INV000041,SRV007,Pharmacy,3,750.00,2250.00
IL000116,INV000042,SRV004,Laboratory Investigation,2,500.00,1000.00
IL000117,INV000042,SRV002,Emergency Consultation,3,1500.00,4500.00
IL000118,INV000043,SRV004,Laboratory Investigation,2,500.00,1000.00
IL000119,INV000044,SRV006,Procedure,3,3000.00,9000.00
IL000120,INV000044,SRV002,Emergency Consultation,3,1500.00,4500.00
IL000121,INV000044,SRV005,Radiology Investigation,3,1200.00,3600.00
IL000122,INV000045,SRV003,Hospital Room Charge,2,2500.00,5000.00
IL000123,INV000046,SRV001,Consultation,2,800.00,1600.00
IL000124,INV000047,SRV007,Pharmacy,3,750.00,2250.00
IL000125,INV000047,SRV006,Procedure,3,3000.00,9000.00
IL000126,INV000047,SRV002,Emergency Consultation,3,1500.00,4500.00
IL000127,INV000047,SRV001,Consultation,1,800.00,800.00
IL000128,INV000048,SRV005,Radiology Investigation,3,1200.00,3600.00
IL000129,INV000049,SRV001,Consultation,2,800.00,1600.00
IL000130,INV000050,SRV006,Procedure,1,3000.00,3000.00
IL000131,INV000050,SRV001,Consultation,2,800.00,1600.00
IL000132,INV000050,SRV005,Radiology Investigation,2,1200.00,2400.00
IL000133,INV000050,SRV003,Hospital Room Charge,1,2500.00,2500.00
IL000134,INV000051,SRV006,Procedure,2,3000.00,6000.00
IL000135,INV000051,SRV008,Nursing Service,1,1000.00,1000.00
IL000136,INV000051,SRV004,Laboratory Investigation,3,500.00,1500.00
IL000137,INV000051,SRV002,Emergency Consultation,3,1500.00,4500.00
IL000138,INV000052,SRV008,Nursing Service,3,1000.00,3000.00
IL000139,INV000052,SRV004,Laboratory Investigation,3,500.00,1500.00
IL000140,INV000052,SRV007,Pharmacy,2,750.00,1500.00
IL000141,INV000053,SRV004,Laboratory Investigation,2,500.00,1000.00
IL000142,INV000053,SRV007,Pharmacy,2,750.00,1500.00
IL000143,INV000053,SRV001,Consultation,1,800.00,800.00
IL000144,INV000054,SRV007,Pharmacy,2,750.00,1500.00
IL000145,INV000054,SRV003,Hospital Room Charge,1,2500.00,2500.00
IL000146,INV000054,SRV001,Consultation,2,800.00,1600.00
IL000147,INV000054,SRV004,Laboratory Investigation,1,500.00,500.00
IL000148,INV000055,SRV005,Radiology Investigation,3,1200.00,3600.00
IL000149,INV000055,SRV003,Hospital Room Charge,3,2500.00,7500.00
IL000150,INV000055,SRV007,Pharmacy,2,750.00,1500.00
IL000151,INV000056,SRV004,Laboratory Investigation,1,500.00,500.00
IL000152,INV000057,SRV007,Pharmacy,3,750.00,2250.00
IL000153,INV000057,SRV004,Laboratory Investigation,1,500.00,500.00
IL000154,INV000058,SRV008,Nursing Service,2,1000.00,2000.00
IL000155,INV000058,SRV004,Laboratory Investigation,1,500.00,500.00
IL000156,INV000058,SRV001,Consultation,2,800.00,1600.00
IL000157,INV000058,SRV006,Procedure,3,3000.00,9000.00
IL000158,INV000059,SRV005,Radiology Investigation,3,1200.00,3600.00
IL000159,INV000059,SRV006,Procedure,2,3000.00,6000.00
IL000160,INV000060,SRV006,Procedure,2,3000.00,6000.00
IL000161,INV000060,SRV004,Laboratory Investigation,2,500.00,1000.00
IL000162,INV000060,SRV008,Nursing Service,3,1000.00,3000.00
IL000163,INV000060,SRV005,Radiology Investigation,2,1200.00,2400.00
IL000164,INV000061,SRV005,Radiology Investigation,1,1200.00,1200.00
IL000165,INV000061,SRV003,Hospital Room Charge,3,2500.00,7500.00
IL000166,INV000061,SRV002,Emergency Consultation,1,1500.00,1500.00
IL000167,INV000062,SRV002,Emergency Consultation,3,1500.00,4500.00
IL000168,INV000062,SRV006,Procedure,1,3000.00,3000.00
IL000169,INV000062,SRV005,Radiology Investigation,1,1200.00,1200.00
IL000170,INV000063,SRV008,Nursing Service,3,1000.00,3000.00
IL000171,INV000063,SRV003,Hospital Room Charge,3,2500.00,7500.00
IL000172,INV000064,SRV002,Emergency Consultation,2,1500.00,3000.00
IL000173,INV000064,SRV007,Pharmacy,1,750.00,750.00
IL000174,INV000064,SRV008,Nursing Service,2,1000.00,2000.00
IL000175,INV000065,SRV005,Radiology Investigation,3,1200.00,3600.00
IL000176,INV000065,SRV001,Consultation,3,800.00,2400.00
IL000177,INV000066,SRV005,Radiology Investigation,1,1200.00,1200.00
IL000178,INV000066,SRV001,Consultation,3,800.00,2400.00
IL000179,INV000067,SRV003,Hospital Room Charge,1,2500.00,2500.00
IL000180,INV000067,SRV006,Procedure,1,3000.00,3000.00
IL000181,INV000067,SRV004,Laboratory Investigation,3,500.00,1500.00
IL000182,INV000068,SRV008,Nursing Service,2,1000.00,2000.00
IL000183,INV000068,SRV004,Laboratory Investigation,1,500.00,500.00
IL000184,INV000068,SRV007,Pharmacy,1,750.00,750.00
IL000185,INV000069,SRV008,Nursing Service,2,1000.00,2000.00
IL000186,INV000069,SRV001,Consultation,2,800.00,1600.00
IL000187,INV000069,SRV007,Pharmacy,1,750.00,750.00
IL000188,INV000070,SRV003,Hospital Room Charge,1,2500.00,2500.00
IL000189,INV000071,SRV002,Emergency Consultation,3,1500.00,4500.00
IL000190,INV000071,SRV008,Nursing Service,2,1000.00,2000.00
IL000191,INV000071,SRV001,Consultation,3,800.00,2400.00
IL000192,INV000072,SRV007,Pharmacy,2,750.00,1500.00
IL000193,INV000072,SRV004,Laboratory Investigation,2,500.00,1000.00
IL000194,INV000073,SRV005,Radiology Investigation,3,1200.00,3600.00
IL000195,INV000073,SRV008,Nursing Service,3,1000.00,3000.00
IL000196,INV000073,SRV007,Pharmacy,1,750.00,750.00
IL000197,INV000073,SRV001,Consultation,1,800.00,800.00
IL000198,INV000074,SRV005,Radiology Investigation,1,1200.00,1200.00
IL000199,INV000074,SRV006,Procedure,1,3000.00,3000.00
IL000200,INV000075,SRV003,Hospital Room Charge,1,2500.00,2500.00
IL000201,INV000075,SRV005,Radiology Investigation,1,1200.00,1200.00
